parent,node,branch.length,label,isTip,x,y,branch,angle
10,1,2059,PD45766b_lo0001,TRUE,2691,3,1661.5,154.285714285714
10,2,1961,PD45766b_lo0002,TRUE,2593,4,1612.5,205.714285714286
12,3,2340,PD45766b_lo0003,TRUE,2353,6,1183,308.571428571429
12,4,2589,PD45766b_lo0008,TRUE,2602,7,1307.5,360
11,5,2777,PD45766b_lo0007,TRUE,2789,5,1400.5,257.142857142857
13,6,3203,PD45766b_lo0005,TRUE,3206,1,1604.5,51.4285714285714
13,7,3211,PD45766b_lo0006,TRUE,3214,2,1608.5,102.857142857143
8,8,0,,FALSE,0,3.0625,0,157.5
8,9,3,100,FALSE,3,4.625,1.5,237.857142857143
9,10,629,100,FALSE,632,3.5,317.5,180
9,11,9,100,FALSE,12,5.75,7.5,295.714285714286
11,12,1,97,FALSE,13,6.5,12.5,334.285714285714
8,13,3,89,FALSE,3,1.5,1.5,77.1428571428571
